run_idx,num_blocked_ovals,sp_cost,our_cost,sp_runtime,our_runtime
138,1,157.8454,148.0494,2.6404,2.7555
139,1,157.8454,151.0638,2.8820,2.3251
140,2,159.0965,150.8970,4.2670,8.5239
141,0,147.6155,148.0494,0.0535,1.2213
142,1,149.7064,157.6413,0.8818,8.6798
143,2,150.9829,159.3204,2.0106,2.9481
144,0,147.6155,148.0494,0.3800,1.8728
145,2,150.9829,159.3204,1.9349,3.6552
146,0,147.6155,149.6460,0.2411,1.6070
147,2,153.9030,157.6413,2.0945,10.4274
148,0,147.6155,151.1113,0.0600,1.7518
149,2,159.0965,150.8970,4.0629,7.0952
150,2,159.0965,152.1693,4.2244,7.0299
151,2,150.9829,168.9123,1.8005,8.6083
152,0,147.6155,149.6460,0.2456,1.1204
153,2,159.0965,150.8970,4.1344,8.9758
154,1,148.8920,150.8970,1.3771,5.2425
155,0,147.6155,148.0494,0.2902,1.6980
156,1,148.8920,150.8970,1.2182,7.6069
157,1,148.8920,150.8970,1.2940,8.0556
158,1,157.8454,148.0494,2.8455,2.7685
159,1,149.7064,157.6413,1.0751,8.9302
160,2,153.9030,148.0494,2.0332,3.8041
161,2,159.0965,150.8970,4.1654,9.2489
162,1,157.8454,149.6460,2.6536,2.3802
163,0,147.6155,149.6460,0.0697,4.0124
164,3,165.1740,168.9123,2.5526,7.9240
165,2,159.0965,152.1693,4.1656,11.9493
166,2,150.9829,168.9123,1.8555,12.9455
167,1,157.8454,149.6460,2.8811,3.5509
168,2,153.9030,157.6413,2.2924,8.8231
169,0,147.6155,148.0494,0.0647,3.8261
170,2,150.9829,168.9123,1.9624,7.1728
171,1,149.7064,151.0638,1.1579,2.0513
172,2,153.9030,157.6413,2.2359,9.3350
173,3,165.1740,159.3204,2.5252,5.7859
174,1,149.7064,157.7188,1.0762,10.0485
175,2,150.9829,157.4290,2.1264,5.1476
176,2,153.9030,157.6413,2.1805,8.2034
177,3,165.1740,159.3204,2.8700,5.1656
178,2,153.9030,157.6413,2.0549,8.8916
179,1,148.8920,159.3204,1.2912,4.6563
180,0,147.6155,148.0494,0.2798,1.9136
181,0,147.6155,149.6460,0.2247,2.1361
182,3,165.1740,162.3391,2.4921,5.9993
183,2,150.9829,168.9123,2.1552,11.2962
184,1,157.8454,150.3494,2.7560,2.8900
185,1,149.7064,148.0494,1.0962,1.8683
186,1,149.7064,157.6413,1.0559,5.2782
187,1,149.7064,157.6413,1.1763,9.2428
188,1,148.8920,159.3204,1.0469,4.0159
189,1,148.8920,159.3204,1.0687,4.8133
190,3,165.1740,168.9123,2.4564,10.4872
191,1,149.7064,157.6413,1.0547,6.9820
192,2,153.9030,148.0494,2.2607,2.9850
193,1,148.8920,159.3204,1.0316,3.5909
194,2,150.9829,168.9123,1.8061,10.4693
195,2,159.0965,152.1693,3.9652,10.4522
196,2,153.9030,148.0494,2.3040,3.1714
197,3,165.1740,159.3204,2.5221,5.8254
198,2,153.9030,157.6413,2.2402,9.7887
199,1,148.8920,150.8970,1.2469,6.8376
